product_id,product_title,rating,total_reviews,price,top_reviews
itmc2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",4.6,"6,023","₹69,900","4 | Very Good | Nice camera quality Like DSLR | Adarsh Gupta | Certified Buyer, Varanasi | 1 month ago | 27 | 2 | https://www.flipkart.com/reviews/MOBHCUW8YPERJQJP:120?reviewId=e7002298-911e-4550-b6e4-93dc90b9b56b || 5 | Super! | Satisfied | Amit Kumar Chaudhary | Certified Buyer, Patna | 7 months ago | 1594 | 467 | https://www.flipkart.com/reviews/MOBH4DQFG8NKFRDY:191?reviewId=385178ef-7ade-455b-a949-0d44ff0a6890"
itm3485a56f6e676,"Apple iPhone 14 (Starlight, 128 GB)",4.6,"11,909","₹54,900","5 | Just wow! | Good | Avi Nash | Certified Buyer, Bengaluru | Feb, 2023 | 7495 | 1573 | https://www.flipkart.com/reviews/MOBGHWFHABH3G73H:100?reviewId=e89ddd8b-e1c7-4829-8ac1-77e021cea0b7 || 5 | Great product | Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go. | Flipkart Customer | Certified Buyer, Rajgarh | Jan, 2023 | 4478 | 927 | https://www.flipkart.com/reviews/MOBGHWFHSV7GUFWA:136?reviewId=ad5f9b69-a5ef-4fda-8fe0-09fbb1186096"
itm1d61ec8d90cc7,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,4.4,145,"₹64,990","5 | Worth every penny | Product is good, people who have problem with sound can turn on Dolby Atmos in samsung settings you will be impressed 💯 | Begudem Vardhan | Certified Buyer, Hyderabad | 1 month ago | 19 | 0 | https://www.flipkart.com/reviews/COMHE4ATFWNVHXHS:207?reviewId=0f6e2990-3f6e-4a80-8d56-572117473bc3 || 5 | Perfect product! | about this laptop. For example, the display can fold 180 degrees, and the charging capacity is actually 65W, not 45W. It is also a Copilot+PC, but that's not mentioned on the site.

Another great feature is the fingerprint sensor with Windows Hello support, which works with excellent accuracy. I have been using this laptop for almost 7 hours in performance mode, downloading around 26GB of data from the internet not just through the browser. I kept the brightness at full and played music at ma...
READ MORE | Goutam Kumar | Certified Buyer, Madhupur | 3 months ago | 101 | 24 | https://www.flipkart.com/reviews/COMHE4ATFWNVHXHS:3?reviewId=6a4a0dcd-6298-4367-b4b0-bcd7d81265f6"
itm62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)",4.5,"5,810","₹13,999","5 | Super! | Night picture very good phone | Ankita Sengupta | Certified Buyer, Khardaha | 2 months ago | 193 | 47 | https://www.flipkart.com/reviews/MOBHDY9PVAHGDHWG:2184?reviewId=b2809f37-4b6a-4c9e-a30e-5bef6f1fd4d0 || 5 | Terrific purchase | I love this product for this price | Jivika Shukla | Certified Buyer, Sasaram | 2 months ago | 499 | 140 | https://www.flipkart.com/reviews/MOBHDY9PPU2NRCZH:2437?reviewId=be8ce21f-b095-405b-8e8f-77f91e2303c4"
